investor,stock,company,sector,pct,shares,value_idr,type,lf
ADARO STRATEGIC INVESTMENTS,AADI,ADARO ANDALAN INDONESIA Tbk,PLANTATION,41.1,3200142830,36081610408250.0,Corporation,Local
ALAMTRI RESOURCES INDONESIA TBK PT,AADI,ADARO ANDALAN INDONESIA Tbk,PLANTATION,15.37,1197023942,13496444946050.0,Corporation,Local
GARIBALDI THOHIR,AADI,ADARO ANDALAN INDONESIA Tbk,PLANTATION,5.83,454011607,5118980868925.0,Individual,Local
SARATOGA INVESTAMA SEDAYA TBK PT,AADI,ADARO ANDALAN INDONESIA Tbk,PLANTATION,4.38,340897429,3843618511975.0,Corporation,Local
EDWIN SOERYADJAYA,AADI,ADARO ANDALAN INDONESIA Tbk,PLANTATION,3.52,273955636,3088849795900.0,Individual,Local
IR. T. PERMADI RACHMAT,AADI,ADARO ANDALAN INDONESIA Tbk,PLANTATION,3.27,254992918,2875045150450.0,Individual,Local
SANDIAGA SALAHUDDIN UNO,AADI,ADARO ANDALAN INDONESIA Tbk,PLANTATION,2.04,159027175,1793031398125.0,Individual,Local
PERSADA CAPITAL INVESTAMA,AADI,ADARO ANDALAN INDONESIA Tbk,PLANTATION,2.83,220609170,2487368391750.0,Corporation,Local
PT TRINUGRAHA THOHIR,AADI,ADARO ANDALAN INDONESIA Tbk,PLANTATION,1.15,89926520,1013921513000.0,Corporation,Local
PT ASTRA INTERNATIONAL TBK,AALI,ASTRA AGRO LESTARI Tbk,PLANTATION,79.68,1533682440,11579302422000.0,Corporation,Local
DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,AALI,ASTRA AGRO LESTARI Tbk,PLANTATION,2.18,41979300,316943715000.0,Insurance,Local
PT BEYOND MEDIA,ABBA,MAHAKA MEDIA Tbk,"ADVERTISING,PRINTING and MEDIA",40.47,1592831618,66898927956.0,Corporation,Local
SOLIC KREASI BARU PT,ABBA,MAHAKA MEDIA Tbk,"ADVERTISING,PRINTING and MEDIA",13.77,542042122,22765769124.0,Corporation,Local
