id,type,size,category
PT SATYA MULIA GEMA GEMILANG,investor,5,Corporation
IEVAN DANIAR SUMAMPOW,investor,4,Individual
UOB KAY HIAN PRIVATE LIMITED,investor,65,Securities Co
CITIBANK HONG KONG S/A PBG CLIENTS SG,investor,6,Insurance/Pension
BANQUE PICTET AND CIE SA,investor,5,Insurance/Pension
PT DANATAMA MAKMUR SEKURITAS,investor,4,Securities Co
BARCLAYS CAPITAL SECURITIES LIMITED,investor,8,Insurance/Pension
PT. GRAHA SENTOSA PERSADA,investor,4,Corporation
EASTERN PEAK GROUP CORPORATION,investor,5,Others
PT. PRUDENTIAL LIFE ASSURANCE,investor,10,Insurance
HAIYANTO,investor,13,Individual
ANDY TANUJAYA,investor,6,Individual
PT SINAR MAS MULTIARTHA Tbk,investor,5,Corporation
OCBC SECURITIES PRIVATE LIMITED,investor,15,Securities Co
HSBC LTD-SINGAPORE BRANCH PRIVATE BANKING DIVISION ACCOUNT CLIENTS,investor,7,Corporation
SIAUW YUNUS SUBANDI,investor,15,Individual
PT SOTERIA WICAKSANA INVESTAMA,investor,4,Corporation
REKSA DANA GEMILANG DANA SAHAM INDONESIA,investor,4,Mutual Fund
SALIM LIM,investor,4,Individual
UOB KAY HIAN (HONG KONG) LTD,investor,7,Securities Co
PT PENDANAAN EFEK INDONESIA,investor,5,Corporation
UBS SWITZERLAND AG,investor,9,Insurance/Pension
MARUARAR SIRAIT,investor,4,Individual
REKSA DANA SUCORINVEST SHARIA EQUITY FUND,investor,8,Mutual Fund
"CAPITAL LIFE SYARIAH, PT",investor,7,Insurance
PT SAMUEL SEKURITAS INDONESIA,investor,4,Securities Co
REKSA DANA SYARIAH TREASURE SAHAM BERKAH SYARIAH,investor,5,Mutual Fund
PERSADA CAPITAL INVESTAMA,investor,5,Corporation
PT GRAHA METTA ARYA,investor,4,Corporation
HAPSORO,investor,5,Individual
DRS LO KHENG HONG,investor,13,Individual
"SUMBER ALFARIA TRIJAYA, TBK",investor,3,Corporation
PT. MEGAH ANGKASA PERKASA,investor,5,Corporation
"TIRTA CITRA SOLUSI, PT",investor,5,Corporation
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,investor,5,Corporation
REKSA DANA NARADA SAHAM INDONESIA,investor,8,Mutual Fund
PT ASTRA INTERNATIONAL TBK,investor,7,Corporation
PETROMINE ENERGY TRADING,investor,6,Corporation
BOOM SECURITIES (H.K.) LIMITED,investor,4,Securities Co
REKSA DANA TREASURE SAHAM MANTAP,investor,4,Mutual Fund
ANTONIUS GUNAWAN GHO,investor,4,Individual
YOHANES HALIM,investor,5,Individual
PT KARYA KARUNIA PERSADA,investor,4,Corporation
MORGAN STANLEY AND CO INTERNATIONAL PLC,investor,11,Corporation
PT. ASURANSI JIWA IFG,investor,13,Insurance
REKSA DANA AURORA SMC EQUITY,investor,6,Mutual Fund
TJOMO TJENGUNDORO.TJENG,investor,5,Individual
REKSA DANA SUCORINVEST EQUITY PRIMA FUND,investor,14,Mutual Fund
"Tesco International Capital, PT",investor,4,Corporation
REKSA DANA BALANCED FUND SUCORINVEST ANAK PINTAR,investor,4,Mutual Fund
REKSA DANA EMCO MANTAP,investor,15,Mutual Fund
CA INDOSUEZ (SWITZERLAND) SA,investor,5,Insurance/Pension
PT BARA SEJAHTERA SUKSES,investor,5,Corporation
PT. INDOLIFE PENSIONTAMA,investor,12,Insurance
PT. KB VALBURY SEKURITAS,investor,6,Securities Co
LIE EFFENDI HARSONO,investor,4,Individual
BROADBAND GLOBAL PARTNERS INC,investor,3,Insurance/Pension
"ASURANSI JIWA KRESNA, PT",investor,4,Insurance
HONKY HARJO,investor,5,Individual
"EFG BANK AG, SINGAPORE BRANCH A/C CLIENTS",investor,4,Insurance/Pension
STANDARD CHARTERED BANK (SINGAPORE) LIMITED,investor,6,Insurance/Pension
DRA MEDYA LENGKEY S.,investor,4,Individual
PT GOLDEN FLOWER GLOBAL RESOURCES,investor,4,Corporation
FIDELITY FUNDS,investor,19,Mutual Fund
PT TASPEN (PERSERO),investor,15,Insurance
REKSA DANA CAPITAL EQUITY FUND,investor,6,Mutual Fund
TERRA KONSUMA INVESTAMA,investor,4,Corporation
PT BAKRIE CAPITAL INDONESIA,investor,4,Corporation
LGT BANK AG,investor,10,Insurance/Pension
RELIANCEVER HOLDINGS INC,investor,5,Others
PT BIOFUEL INDO SUMATRA,investor,6,Corporation
PHILLIP SECURITIES PTE LTD,investor,12,Securities Co
BP2S SG/BNP PARIBAS SINGAPORE BRANCH WEALTH MANAGEMENT,investor,6,Others
DEUTSCHE BK AG (PRIVATE BANKING) SPORE WM CLIENT,investor,9,Insurance/Pension
PT TRIMEGAH SEKURITAS INDONESIA TBK,investor,13,Securities Co
CITIBANK NEW YORK S/A RAINBOW FUND LP,investor,3,Others
REKSA DANA MINNA PADI PASOPATI SAHAM,investor,4,Mutual Fund
PT MAYBANK SEKURITAS INDONESIA - REGISTRAR,investor,8,Securities Co
Reksa Dana Syariah Pan Arcadia Ekuitas Syariah Progresif,investor,5,Mutual Fund
REKSA DANA MINNA PADI PRINGGONDANI SAHAM,investor,5,Mutual Fund
MAYBANK SECURITIES PTE. LTD.,investor,23,Securities Co
PT TIRTA ORISA YASA,investor,5,Corporation
CGS INTERNATIONAL SECURITIES HONG KONG LIMITED,investor,3,Securities Co
PT SENTOSA BERSAMA MITRA,investor,5,Corporation
PT YULIE SEKURITAS INDONESIA TBK,investor,7,Securities Co
PT. BINTANG MITRA SEMESTARAYA TBK,investor,6,Corporation
WINATO KARTONO,investor,4,Individual
EDWIN SOERYADJAYA,investor,4,Individual
"BANK DANAMON INDONESIA Tbk, PT - REGISTRAR",investor,8,Insurance/Pension
JPMCB NA AIF CLT RE-THE SCOTTISH ORIENTAL SMALLER COMPANIES TRUST PLC,investor,4,Corporation
IR. T. PERMADI RACHMAT,investor,6,Individual
JAKSA AGUNG MUDA BIDANG TINDAK PIDANA KHUSUS KEJAKSAAN REPUBLIK INDONESIA KEJAKSAAN REPUBLIK INDONESIA,investor,17,Others
PT. AIA FINANCIAL,investor,5,Insurance
"UBS AG, LONDON",investor,11,Insurance/Pension
SAFARI ASIA LIMITED,investor,4,Insurance/Pension
PT MNC KAPITAL INDONESIA TBK,investor,4,Corporation
UBS AG HONG KONG,investor,8,Insurance/Pension
HARTARTO CIPUTRA,investor,4,Individual
DJS KETENAGAKERJAAN PROGRAM JAMINAN PENSIUN,investor,8,Insurance
SUKARTO BUJUNG,investor,4,Individual
PT. CAPITAL ASSET MANAGEMENT,investor,4,Securities Co
KOKARJADI CHANDRA,investor,4,Individual
FERRY SUDJONO,investor,4,Individual
GARIBALDI THOHIR,investor,7,Individual
PT. Victoria Investama Tbk,investor,10,Corporation
PT Yuanta Sekuritas Indonesia,investor,5,Securities Co
"UNION BANCAIRE PRIVEE, UBP SA SINGAPORE BRANCH",investor,7,Insurance/Pension
PT DANANTARA ASSET MANAGEMENT (PERSERO),investor,7,Corporation
BONHAM NOMINEES PTE LTD,investor,4,Corporation
"CAPITAL LIFE INDONESIA, PT",investor,4,Insurance
IRENE THESMAN,investor,4,Individual
