source,target,pct,value_idr
GARIBALDI THOHIR,AADI,5.83,5118980868925.0
SARATOGA INVESTAMA SEDAYA TBK PT,AADI,4.38,3843618511975.0
EDWIN SOERYADJAYA,AADI,3.52,3088849795900.0
IR. T. PERMADI RACHMAT,AADI,3.27,2875045150450.0
PERSADA CAPITAL INVESTAMA,AADI,2.83,2487368391750.0
PT ASTRA INTERNATIONAL TBK,AALI,79.68,11579302422000.0
DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,AALI,2.18,316943715000.0
MAYBANK SECURITIES PTE. LTD.,ABDA,4.91,79298440000.0
DBS BANK LTD.,ABDA,4.51,72800000000.0
DRS LO KHENG HONG,ABMM,5.64,483239264000.0
DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,ACES,2.89,187070272200.0
PT. PRUDENTIAL LIFE ASSURANCE,ACES,1.07,69500478600.0
DRS SURONO SUBEKTI,ADES,1.04,100909912500.0
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,ADHI,63.69,1044163780530.0
"PANIN SEKURITAS Tbk, PT",ADHI,2.83,46392307260.0
SALIM LIM,ADHI,1.67,27350665485.0
"BANK DANAMON INDONESIA Tbk, PT - REGISTRAR",ADMF,74.5,7733880000000.0
PT SATYA MULIA GEMA GEMILANG,ADMG,10.42,83503458158.0
DRS LO KHENG HONG,ADMG,1.29,10365528600.0
GARIBALDI THOHIR,ADRO,6.73,5099712391800.0
SARATOGA INVESTAMA SEDAYA TBK PT,ADRO,4.0,3031217928600.0
EDWIN SOERYADJAYA,ADRO,3.58,2713485443520.0
IR. T. PERMADI RACHMAT,ADRO,3.03,2296764764580.0
UOB KAY HIAN PRIVATE LIMITED,AEGS,4.38,1852019400.0
PHILLIP SECURITIES PTE LTD,AEGS,1.46,617580600.0
ANDY TANUJAYA,AEGS,1.09,462210000.0
SARATOGA INVESTAMA SEDAYA TBK PT,AGII,10.0,1103997600000.0
ZICO TRUST (S) LTD,AGII,2.99,329882040000.0
PT ASURANSI CENTRAL ASIA,AHAP,62.58,334231387981.0
ASURANSI SIMAS JIWA,AISA,1.82,20322057960.0
UBS AG SINGAPORE BRANCH,AISA,1.71,19060404000.0
KINGSWOOD UNION CORPORATION,AKKU,1.12,2683795000.0
EMPLOYEES PROVIDENT FUND BOARD,AKRA,3.23,909737500000.0
GOVERNMENT OF NORWAY,AKRA,2.82,795297018500.0
PT TRIMEGAH SEKURITAS INDONESIA TBK,ALTO,9.62,3794983974.0
IRENE THESMAN,ALTO,4.96,1958220108.0
"BANK PAN INDONESIA TBK, PT",AMAG,7.76,170720000000.0
DANA PENSIUN KARYAWAN PANIN BANK,AMAG,4.2,92408594520.0
"PANINVEST TBK, PT",AMAG,3.76,82822925240.0
