investor,stock,company,sector,lf,mar_pct,jan_local_agg_pct,jan_foreign_agg_pct
PT. BUMI SERPONG DAMAI Tbk,DUTI,DUTA PERTIWI Tbk,,Local,99.41,7.5,7.1
PT. BUMI SERPONG DAMAI Tbk,SMDM,SURYAMAS DUTAMAKMUR Tbk,,Local,98.97,100.0,0.0
"SARANA AGRO INVESTAMA, PT",JAWA,JAYA AGRA WATTIE Tbk,,Local,92.5,98.5,1.4
PT DANANTARA ASSET MANAGEMENT (PERSERO),GIAA,GARUDA INDONESIA (PERSERO) Tbk,,Local,91.11,4.8,3.1
PT DANANTARA ASSET MANAGEMENT (PERSERO),WIKA,WIJAYA KARYA (PERSERO) Tbk,,Local,90.11,7.6,1.4
"MESTIKA BENUA MAS, PT",BBMD,BANK MESTIKA DHARMA Tbk,,Local,89.44,6.2,4.3
"KEMUNING SATIATAMA, PT",LPCK,LIPPO CIKARANG Tbk,,Local,89.0,12.3,0.5
"BALI PECATU GRAHA, PT",GOLF,INTRA GOLFLINK RESORTS Tbk,,Local,88.49,9.9,0.1
"GESIT PERKASA, PT",ALKA,ALAKASA INDUSTRINDO Tbk,,Local,83.79,12.6,0.5
KREASI CIPTA TIMUR PT,ELPI,PELAYARAN NASIONAL EKALYA PURNAMASARI Tbk,,Local,82.36,12.3,2.7
PT BIRO KLASIFIKASI INDONESIA,KRAS,KRAKATAU STEEL Tbk,,Local,80.0,16.7,2.8
PT SURYA PERKASA SENTOSA,INPS,INDAH PRAKASA SENTOSA Tbk,,Local,79.79,94.0,0.0
PT PRINSEP INDO HLD,FAPA,FAP AGRI Tbk,,Local,79.31,11.5,88.5
PT SILIWANGI DJAJAKUSUMAH HOSPITALS,DKHH,CIPTA SARANA MEDIKA Tbk,,Local,79.21,20.6,0.2
PT KINO INVESTINDO,KINO,KINO INDONESIA Tbk,,Local,79.0,94.1,5.9
PT ANAK BAIK SEJAHTERA,BAIK,BERSAMA MENCAPAI PUNCAK Tbk,,Local,78.84,19.6,0.4
SUMBER MAKMUR LUMINTU PT,SWAT,SRIWAHANA ADITYAKARTA Tbk,,Local,77.22,22.0,0.0
PT JAPARTO SUKSES MANDIRI,KING,HOFFMEN CLEANINDO Tbk,,Local,76.84,20.0,0.0
PT MITRA PACK Tbk,PTMR,MASTER PRINT Tbk,,Local,76.42,22.8,0.0
PT TRIMITRA PRAWARA,ATAP,TRIMITRA PRAWARA GOLDLAND Tbk,,Local,76.0,19.9,0.1
PT. ALPHEN INTERNASIONAL CORPORINDO,PBID,PANCA BUDI IDAMAN Tbk,,Local,74.67,99.8,0.2
PT DANANTARA ASSET MANAGEMENT (PERSERO),WSKT,WASKITA KARYA (PERSERO) Tbk,,Local,74.6,19.7,5.0
"SANDHI PARAMA NUSA, PT",CBPE,CITRA BUANA PRASIDA Tbk,,Local,73.15,20.0,0.0
PT KENCANA USAHA SENTOSA,PTMP,MITRA PACK Tbk,,Local,72.51,27.0,0.5
PT OPTEL INVESTAMA MULIA,LABS,UBC MEDICAL INDONESIA Tbk,,Local,72.39,17.1,3.9
DAMAI SEJAHTERA LESTARI INVESTAMA PT,UFOE,DAMAI SEJAHTERA ABADI Tbk,,Local,72.0,20.0,0.0
"MUSTIKA RATU INVESTAMA, PT",MRAT,MUSTIKA RATU Tbk,,Local,71.21,27.5,0.7
PT DANANTARA ASSET MANAGEMENT (PERSERO),JSMR,JASA MARGA (PERSERO) Tbk,,Local,69.3,17.6,12.4
PT SURYADUTA INVESTAMA,GGRM,GUDANG GARAM Tbk,,Local,69.29,11.3,5.8
"INDO AMERICAN FOODS, PT",ISEA,INDO AMERICAN SEAFOODS Tbk,,Local,69.24,20.8,0.0
"PERTAMINA POWER INDONESIA, PT",PGEO,PERTAMINA GEOTHERMAL ENERGY Tbk,,Local,68.29,9.7,16.1
PT BINTANG BAJA HITAM,POSA,BLISS PROPERTI INDONESIA Tbk,,Local,67.75,68.5,0.1
"WAHANA TATA BANGUN, PT",PLAN,PLANET PROPERINDO JAYA Tbk,,Local,66.85,30.3,0.0
"MARTHANA MEGAHAYU INTI, PT",MBTO,MARTINA BERTO Tbk,,Local,66.82,31.9,1.3
COSMOPOLITAN PERSADA DEVELOPMENTS PT,EMDE,MEGAPOLITAN DEVELOPMENTS Tbk,,Local,66.78,26.2,7.0
"SURYA SEMESTA INTERNUSA TBK, PT",NRCA,NUSA RAYA CIPTA Tbk,,Local,63.94,97.5,1.9
PT OPTEL INVESTAMA MULIA,CHEK,DIASTIKA BIOTEKINDO Tbk,,Local,60.5,16.2,4.8
PT PROFITAMA HASIL INDAH,PSAT,PANCARAN SAMUDERA TRANSPORT Tbk,,Local,60.35,14.9,0.1
PT RAMAYANA MAKMURSENTOSA,RALS,RAMAYANA LESTARI SENTOSA Tbk,,Local,58.74,35.1,5.4
PT MERRY RIANA INDONESIA,MERI,MERRY RIANA EDUKASI Tbk,,Local,57.96,22.3,0.4
LORENA PT,LRNA,EKA SARI LORENA TRANSPORT Tbk,,Local,57.14,42.9,0.0
TOTAL INTI PERSADA PT,TOTL,TOTAL BANGUN PERSADA Tbk,,Local,56.5,32.6,9.0
PRIMA PERMATA SEJAHTERA PT,GWSA,GREENWOOD SEJAHTERA Tbk,,Local,56.25,20.3,0.2
CHAROEN POKPHAND INDONESIA GROUP PT,CPIN,CHAROEN POKPHAND INDONESIA Tbk,,Local,55.53,5.1,35.0
"INVESTASI SUKSES BERSAMA, PT",WIFI,SOLUSI SINERGI DIGITAL Tbk,,Local,54.42,94.5,5.5
"MAJU SELARAS JAYAMERTA, PT",MSJA,MULTI SPUNINDO JAYA Tbk,,Local,53.21,21.5,1.6
DANABINA SENTANA PT,MASB,BANK MULTIARTA SENTOSA Tbk,,Local,52.67,20.5,6.5
PT DANANTARA ASSET MANAGEMENT (PERSERO),TLKM,TELKOM INDONESIA (PERSERO) Tbk,,Local,51.57,8.9,39.0
PT DANANTARA ASSET MANAGEMENT (PERSERO),BMRI,BANK MANDIRI ( PERSERO ) Tbk,,Local,51.48,18.5,29.5
SIGMANTARA ALFINDO,BLOG,TRIMITRA TRANS PERSADA Tbk,,Local,50.83,99.9,0.1
PT DANANTARA ASSET MANAGEMENT (PERSERO),SMGR,SEMEN INDONESIA (PERSERO) Tbk,,Local,50.69,21.2,27.6
PT CAPITAL GLOBAL INVESTAMA,BACA,BANK CAPITAL INDONESIA Tbk,,Local,50.66,73.6,25.4
"ADRINDO INTIPERKASA, PT",SMSM,SELAMAT SEMPURNA Tbk,,Local,50.54,19.7,27.2
"CENTRAL ENERGI PRATAMA, PT",ANDI,ANDIRA AGRO Tbk,,Local,49.73,50.2,0.0
PT MANDALINDO PUTRA PERKASA,OILS,INDO OIL PERKASA Tbk,,Local,47.85,37.4,0.1
PT ENAM BERLIAN SINERGI,REAL,REPOWER ASIA INDONESIA Tbk,,Local,46.72,51.2,2.0
"SENA DWIMAKMUR, PT",SCNP,SELARAS CITRA NUSANTARA PERKASA Tbk,,Local,45.0,15.2,4.8
SIGMANTARA ALFINDO,AMRT,SUMBER ALFARIA TRIJAYA Tbk,,Local,44.0,51.7,33.0
"PURINUSA EKAPERSADA, PT",INKP,INDAH KIAT PULP AND PAPER Tbk,,Local,41.05,36.8,20.1
PT GLOBAL BASE UNIVERSAL,BLES,SUPERIOR PRIMA SUKSES Tbk,,Local,40.83,16.2,0.1
NUR INTERNASIONAL SAMUDRA PT,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,,Local,40.8,52.6,1.0
PT TIRTA ORISA YASA,PSKT,RED PLANET INDONESIA Tbk,,Local,40.77,99.5,0.4
PT BEYOND MEDIA,ABBA,MAHAKA MEDIA Tbk,,Local,40.47,87.2,1.1
PT BEYOND MEDIA,MARI,MAHAKA RADIO INTEGRA Tbk,,Local,40.35,99.0,1.0
PT. TRIPLE BERKAH BERSAMA,MEJA,HARTA DJAYA KARYA Tbk,,Local,39.31,98.5,1.2
GLOBALASIA CAPITAL INVESTAMA PT,RAFI,SARI KREASI BOGA Tbk,,Local,38.36,61.2,0.4
PT VERDAN SAWIT LESTARI,CSRA,CISADANE SAWIT RAYA Tbk,,Local,38.0,92.5,7.5
"RAJAWALI CAPITAL INTERNATIONAL, PT.",BWPT,"EAGLE HIGH PLANTATIONS, Tbk",,Local,37.7,57.0,43.0
PT SIGMA MUTIARA,PBSA,PARAMITA BANGUN SARANA Tbk,,Local,37.56,93.3,6.7
PT. FIKASA BINTANG CEMERLANG,ALTO,TRI BANYAN TIRTA Tbk,,Local,36.44,99.4,0.6
"CENTRAL ENERGI PRATAMA, PT",MTPS,META EPSI Tbk,,Local,35.7,48.5,0.0
"SERASIH HOLDICO, PT",PSGO,PALMA SERASIH Tbk,,Local,35.01,5.8,9.3
PT TRIMULTI ADINATA PERKASA,GTRA,GRAHAPRIMA SUKSESMANDIRI Tbk,,Local,34.95,19.5,0.5
PT ADIKA EKA PUTRA,GTRA,GRAHAPRIMA SUKSESMANDIRI Tbk,,Local,34.95,19.5,0.5
"YAKIN WISKON, PT",MTSM,"METRO REALTY Tbk, PT",,Local,34.53,34.8,1.1
SUMATERA TEKNINDO PT,MTMH,MURNI SADAR Tbk,,Local,32.56,7.7,8.3
