investor,stock,company,sector,lf,feb_pct,mar_pct,delta_pct,jan_local_agg_pct,jan_foreign_agg_pct
PRAJOGO PANGESTU,CUAN,PETRINDO JAYA KREASI Tbk,,Local,84.1,5.02,-79.08,2.6,13.3
SAMUDERA INDONESIA TANGGUH,SMDR,SAMUDERA INDONESIA Tbk,,Local,1.92,58.0,56.08,21.9,3.0
CITRA BORNEO INDAH,SSMS,SAWIT SUMBERMAS SARANA Tbk,,Local,12.08,65.83,53.75,27.4,18.8
PT SUNTERRA INDONESIA,TRGU,CERESTAR INDONESIA Tbk,,Local,30.07,81.12,51.05,35.1,13.8
PT MEDIA NUSANTARA CITRA TBK,MSIN,MNC DIGITAL ENTERTAINMENT Tbk,,Local,8.4,58.41,50.01,38.5,11.5
KURNYATJAN SAKTI EFENDIE,KLAS,PELAYARAN KURNIA LAUTAN SEMESTA Tbk,,Local,71.67,30.43,-41.24,27.5,0.7
PT. BUNDA INVESTAMA INDONESIA,DGNS,DIAGNOS LABORATORIUM UTAMA Tbk,,Local,38.8,3.32,-35.48,21.2,0.8
PT PARAGA ARTAMIDA,BSDE,BUMI SERPONG DAMAI Tbk,,Local,6.8,40.35,33.55,26.9,13.9
AGPA PTE. LTD.,SGRO,PRIME AGRI RESOURCES Tbk,,Foreign,65.72,98.7,32.98,20.1,79.9
PT PRISMATAMA NUGRAHA,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,,Local,6.04,27.28,21.24,40.3,0.1
PT. AVIA NUSANTARA KHATULISTIWA,HELI,JAYA TRISHINDO Tbk,,Local,27.03,7.55,-19.48,89.8,10.2
"PROF.DR.IR. ANASTASIA SULISTYAWATI, M.S., M.M., D.TH",ICON,ISLAND CONCEPTS INDONESIA Tbk,,Local,15.68,34.76,19.08,71.9,3.5
AURIC DIGITAL RETAIL PTE LTD,LPPF,MATAHARI DEPARTMENT STORE Tbk,,Foreign,29.23,42.51,13.28,42.3,57.7
PT TRISULA INSAN TIARA,TRIS,TRISULA INTERNATIONAL Tbk,,Local,3.18,16.01,12.83,49.3,8.8
PT. INTI NUSA DAMAI,TRIS,TRISULA INTERNATIONAL Tbk,,Local,20.16,31.27,11.11,49.3,8.8
PT. HARIMAS TUNGGAL PERKASA,IMPC,IMPACK PRATAMA INDUSTRI Tbk,,Local,35.74,44.85,9.11,45.0,10.2
WINTERMARJAYA LESTARI PT.,WINS,WINTERMAR OFFSHORE MARINE Tbk,,Local,25.55,34.01,8.46,62.5,15.1
VERAH WAHYUDI S WONG,TAMA,LANCARTAMA SEJATI Tbk,,Local,1.06,8.07,7.01,92.2,0.1
PT MARTENSITE UNGGUL,TIRA,TIRA AUSTENITE Tbk,,Local,37.94,32.48,-5.46,99.8,0.0
PT. Idea Asia Investama,IDEA,IDEA INDONESIA AKADEMI Tbk,,Local,35.66,30.34,-5.32,99.1,0.9
PT. CITRAJAYA PERKASAMULIA,PICO,PELANGI INDAH CANINDO Tbk,,Local,31.7,36.65,4.95,98.6,0.4
DBS VICKERS (HONG KONG) LIMITED A/C CLIENT,VOKS,VOKSEL ELECTRIC Tbk,,Foreign,30.08,25.18,-4.9,15.0,84.8
PT MANDARA MAS SEMESTA,AMMS,AGUNG MENJANGAN MAS Tbk,,Local,29.0,24.1,-4.9,48.9,51.1
HASIM SUTIONO,CASH,CASHLEZ WORLDWIDE INDONESIA Tbk,,Local,26.65,31.31,4.66,97.9,2.1
PT. PRAMBANAN INVESTASI SUKSES,DOOH,ERA MEDIA SEJAHTERA Tbk,,Local,70.3,66.09,-4.21,99.2,0.4
PT DANATAMA KAPITAL INVESTAMA,BULL,BUANA LINTAS LAUTAN Tbk,,Local,1.18,5.37,4.19,70.5,29.6
PRAYOGA PUTERA UTAMA,TIRA,TIRA AUSTENITE Tbk,,Local,1.65,5.27,3.62,99.8,0.0
WILTON RESOURCES HOLDING PTE LTD,SQMI,WILTON MAKMUR INDONESIA Tbk,,Foreign,48.9,52.47,3.57,21.5,78.5
PT SAMUEL SEKURITAS INDONESIA,FILM,MD ENTERTAINMENT Tbk,,Local,7.91,11.29,3.38,22.3,23.9
PT. PEMENANG NUSANTARA INTERNASIONAL,WINR,WINNER NUSANTARA JAYA Tbk,,Local,68.08,64.74,-3.34,99.4,0.5
VERAH WAHYUDI S WONG,ATAP,TRIMITRA PRAWARA GOLDLAND Tbk,,Local,4.33,1.03,-3.3,19.9,0.1
SANDRA ANGELIA,CASH,CASHLEZ WORLDWIDE INDONESIA Tbk,,Local,3.59,6.77,3.18,97.9,2.1
PT SUKSES MAKMUR JAYAPRATAMA,NATO,SURYA PERMATA ANDALAN Tbk,,Local,10.67,7.54,-3.13,69.7,30.3
PT HILLCON EQUITY MANAGEMENT,HILL,HILLCON Tbk,,Local,41.41,38.29,-3.12,80.3,3.6
INDORAMA HOLDINGS B.V.,INDR,INDO-RAMA SYNTHETICS Tbk,,Foreign,64.18,67.28,3.1,5.1,2.5
BIO MAJESTY PTE. LTD.,PRDA,PRODIA WIDYAHUSADA Tbk,,Foreign,15.0,12.0,-3.0,20.0,20.0
SUJAKA LAYS,COAL,BLACK DIAMOND RESOURCES Tbk,,Local,34.89,31.93,-2.96,95.1,0.9
PT RMK INVESTAMA,RMKO,ROYALTAMA MULIA KONTRAKTORINDO Tbk,,Local,15.4,12.5,-2.9,44.8,0.2
PT RAMAYANA LESTARI SENTOSA,RALS,RAMAYANA LESTARI SENTOSA Tbk,,Local,16.41,13.55,-2.86,35.1,5.4
DMS INVESTAMA PT,KOTA,DMS PROPERTINDO Tbk,,Local,40.78,43.54,2.76,98.1,1.9
PT MULTIKARSA INVESTAMA,POLY,ASIA PACIFIC FIBERS Tbk,,Local,3.03,5.68,2.65,30.7,66.3
PT SARANA MEDITAMA METROPOLITAN TBK,RSGK,KEDOYA ADYARAYA Tbk,,Local,79.84,77.31,-2.53,99.7,0.3
UOB KAY HIAN PRIVATE LIMITED,JAST,JASNITA TELEKOMINDO Tbk,,Foreign,29.95,32.42,2.47,66.5,30.9
PT RODA LANGIT SEMESTA,BIKE,SEPEDA BERSAMA INDONESIA Tbk,,Local,1.16,3.62,2.46,99.0,1.0
KANAWA RIZKI INVESTAMA PT,SOTS,SATRIA MEGA KENCANA Tbk,,Local,2.53,4.83,2.3,100.0,0.0
ANWAR TAY,TAYS,JAYA SWARASA AGUNG Tbk,,Local,35.93,33.65,-2.28,77.7,15.0
