rank,group,num_investors,num_stocks,total_holding_value_idr,sectors
1,Independent / Other,4736,928,4861507420908216.0,"PLANTATION | ADVERTISING,PRINTING and MEDIA | INSURANCE | COAL MINING | RETAIL TRADE | OTHER - BASIC INDUSTRY AND CHEMICALS | BUILDING CONSTRUCTION | PROPERTY AND REAL ESTATE | COSMETICS AND HOUSEHOLD | FINANCIAL INSTITUTION | TEXTILE, GARMENT | AUTOMOTIVE AND COMPONENTS | OTHERS - TRADE, SERVICES & INVESTMENT | ENERGY | BANK | FOOD & BEVERAGES | RESTAURANT, HOTEL & TOURISM | PLASTICS & PACKAGING | WHOLESALE (DURABLE & NON DURABLE GOODS) | PULP & PAPER | TRANSPORTATION | INVESTMENT COMPANY | METAL AND ALLIED PRODUCTS | CERAMICS, GLASS, PORCELAIN | MACHINERY AND HEAVY EQUIPMENT | LAND/STONE QUARRYING | FISHERY | FORESTRY | CRUDE PETROLEUM & NATURAL GAS PROD. | OTHERS - FINANCE | METAL AND MINERAL MINING | COMPUTER AND SERVICES | CONSTRUCTION | OTHERS - MINING | ANIMAL HUSBANDRY | OTHERS - CONSUMER GOODS INDUSTRY | TELECOMUNICATION | FOOTWEAR | CEMENT | OTHERS - MISCELLANENEOUS INDUSTRY | CROPS | HEALTH CARE | TOLL ROAD, AIRPORT, HARBOR & ALLIED PROD. | CABLE | NON BUILDING CONSTRUCTION | HOUSEWARE | CHEMICALS | OTHERS - INFRASTRUCTURE, UTILITIES & TRANSPORTATIO | ANIMAL FEED | OTHER SECTORS | ELECTRONICS | PHARMACEUTICALS | WOOD INDUSTRIES | TOBACCO MANUFACTURERS | OTHERS - AGRICULTURE | SECURITIES COMPANY"
2,Government / BUMN,35,107,1105584161042511.0,"PLANTATION | BUILDING CONSTRUCTION | INSURANCE | METAL AND MINERAL MINING | CONSTRUCTION | OTHERS - MINING | AUTOMOTIVE AND COMPONENTS | BANK | PROPERTY AND REAL ESTATE | WHOLESALE (DURABLE & NON DURABLE GOODS) | FORESTRY | TELECOMUNICATION | ANIMAL FEED | FOOD & BEVERAGES | FISHERY | CRUDE PETROLEUM & NATURAL GAS PROD. | RETAIL TRADE | ENERGY | TRANSPORTATION | MACHINERY AND HEAVY EQUIPMENT | INVESTMENT COMPANY | METAL AND ALLIED PRODUCTS | RESTAURANT, HOTEL & TOURISM | COAL MINING | PHARMACEUTICALS | CEMENT | TOLL ROAD, AIRPORT, HARBOR & ALLIED PROD. | PULP & PAPER | NON BUILDING CONSTRUCTION | OTHER - BASIC INDUSTRY AND CHEMICALS | FINANCIAL INSTITUTION | PLASTICS & PACKAGING | OTHERS - TRADE, SERVICES & INVESTMENT | TEXTILE, GARMENT | COSMETICS AND HOUSEHOLD"
3,Prajogo / Barito,13,8,1061689595359835.0,OTHERS - FINANCE | CHEMICALS | INVESTMENT COMPANY | OTHER - BASIC INDUSTRY AND CHEMICALS | COAL MINING | CRUDE PETROLEUM & NATURAL GAS PROD. | BUILDING CONSTRUCTION
4,Sinar Mas / Widjaja,67,57,628451030649293.0,"FOOD & BEVERAGES | COAL MINING | PROPERTY AND REAL ESTATE | TRANSPORTATION | METAL AND ALLIED PRODUCTS | TELECOMUNICATION | BANK | CRUDE PETROLEUM & NATURAL GAS PROD. | OTHERS - TRADE, SERVICES & INVESTMENT | HOUSEWARE | CHEMICALS | AUTOMOTIVE AND COMPONENTS | COMPUTER AND SERVICES | FISHERY | RESTAURANT, HOTEL & TOURISM | PULP & PAPER | INSURANCE | METAL AND MINERAL MINING | RETAIL TRADE | BUILDING CONSTRUCTION | CONSTRUCTION | PLANTATION | OTHERS - FINANCE | TEXTILE, GARMENT | PLASTICS & PACKAGING | INVESTMENT COMPANY | WHOLESALE (DURABLE & NON DURABLE GOODS) | OTHERS - CONSUMER GOODS INDUSTRY | TOBACCO MANUFACTURERS"
5,Djarum / Hartono,7,7,482537964408636.0,BANK | COMPUTER AND SERVICES | HEALTH CARE | RETAIL TRADE | BUILDING CONSTRUCTION | NON BUILDING CONSTRUCTION | WOOD INDUSTRIES
6,Thai / Regional Asia,4,8,267062226059800.0,BANK | CHEMICALS | INVESTMENT COMPANY | ANIMAL FEED | METAL AND ALLIED PRODUCTS | ENERGY | NON BUILDING CONSTRUCTION
7,Salim Group,10,17,246872878862995.0,RETAIL TRADE | BANK | TRANSPORTATION | COMPUTER AND SERVICES | INVESTMENT COMPANY | FOOD & BEVERAGES | TELECOMUNICATION | FINANCIAL INSTITUTION | PLANTATION | PROPERTY AND REAL ESTATE
8,Astra / Jardine,3,7,230300444017738.0,PLANTATION | COMPUTER AND SERVICES | AUTOMOTIVE AND COMPONENTS | HEALTH CARE | WHOLESALE (DURABLE & NON DURABLE GOODS)
9,Adaro / Thohir,6,10,181134425302011.0,PLANTATION | COAL MINING | INVESTMENT COMPANY | METAL AND MINERAL MINING | CHEMICALS | SECURITIES COMPANY
10,Malaysia Sovereign,12,83,118405484625107.0,"INSURANCE | WHOLESALE (DURABLE & NON DURABLE GOODS) | MACHINERY AND HEAVY EQUIPMENT | RETAIL TRADE | METAL AND MINERAL MINING | CERAMICS, GLASS, PORCELAIN | AUTOMOTIVE AND COMPONENTS | PROPERTY AND REAL ESTATE | BANK | CRUDE PETROLEUM & NATURAL GAS PROD. | INVESTMENT COMPANY | FOOD & BEVERAGES | COMPUTER AND SERVICES | PLANTATION | FINANCIAL INSTITUTION | FISHERY | COAL MINING | CHEMICALS | OTHERS - TRADE, SERVICES & INVESTMENT | TELECOMUNICATION | CONSTRUCTION | RESTAURANT, HOTEL & TOURISM | CEMENT | ENERGY | TOLL ROAD, AIRPORT, HARBOR & ALLIED PROD. | WOOD INDUSTRIES | ADVERTISING,PRINTING and MEDIA | ANIMAL FEED | OTHER - BASIC INDUSTRY AND CHEMICALS | OTHERS - AGRICULTURE | TRANSPORTATION | OTHERS - CONSUMER GOODS INDUSTRY | PHARMACEUTICALS | HEALTH CARE | NON BUILDING CONSTRUCTION | CABLE | ANIMAL HUSBANDRY | SECURITIES COMPANY"
11,Medco / Panigoro,3,5,109667282704340.0,LAND/STONE QUARRYING | METAL AND MINERAL MINING | CRUDE PETROLEUM & NATURAL GAS PROD. | METAL AND ALLIED PRODUCTS | OTHER - BASIC INDUSTRY AND CHEMICALS
