group,stock,company,sector,max_pct,holding_value_idr
Prajogo / Barito,BREN,BARITO RENEWABLES ENERGY Tbk,OTHERS - FINANCE,64.14,657061298559750.0
Djarum / Hartono,BBCA,BANK CENTRAL ASIA Tbk,BANK,54.94,453466927500000.0
Independent / Other,DCII,DCI INDONESIA Tbk,COMPUTER AND SERVICES,29.9,443570081951775.0
Sinar Mas / Widjaja,DSSA,DIAN SWASTATIKA SENTOSA Tbk,COAL MINING,59.9,404696257020000.0
Independent / Other,BYAN,BAYAN RESOURCES Tbk,COAL MINING,40.22,378273752494250.0
Government / BUMN,BBRI,BANK RAKYAT INDONESIA (PERSERO) Tbk,BANK,52.66,289556175495150.0
Government / BUMN,BMRI,BANK MANDIRI ( PERSERO ) Tbk,BANK,51.48,267892603357520.0
Prajogo / Barito,TPIA,CHANDRA ASRI PACIFIC Tbk,CHEMICALS,34.63,240711133209000.0
Independent / Other,AMMN,AMMAN MINERAL INTERNASIONAL Tbk,LAND/STONE QUARRYING,32.17,240706908783840.0
Independent / Other,SRAJ,"SEJAHTERARAYA ANUGRAHJAYA Tbk, PT",HEALTH CARE,50.27,171876305028600.0
Government / BUMN,TLKM,TELKOM INDONESIA (PERSERO) Tbk,TELECOMUNICATION,51.57,163605749851440.0
Thai / Regional Asia,TPIA,CHANDRA ASRI PACIFIC Tbk,CHEMICALS,30.57,132616519789000.0
Astra / Jardine,ASII,ASTRA INTERNATIONAL Tbk,AUTOMOTIVE AND COMPONENTS,50.11,129424949625000.0
Independent / Other,PANI,PANTAI INDAH KAPUK DUA Tbk,INVESTMENT COMPANY,84.09,124759279139950.0
Independent / Other,EMAS,MERDEKA GOLD RESOURCES Tbk,METAL AND MINERAL MINING,63.33,101122920314600.0
Independent / Other,DNET,INDORITEL MAKMUR INTERNASIONAL Tbk,RETAIL TRADE,39.35,94672991634800.0
Prajogo / Barito,BRPT,BARITO PACIFIC Tbk,CHEMICALS,71.37,93196289255160.0
Independent / Other,MPRO,MAHA PROPERTI INDONESIA Tbk,PROPERTY AND REAL ESTATE,34.22,92355257812500.0
Independent / Other,IMPC,IMPACK PRATAMA INDUSTRI Tbk,PLASTICS & PACKAGING,44.85,91304765238750.0
Government / BUMN,BBNI,BANK NEGARA INDONESIA Tbk,BANK,59.4,90034120102080.0
Thai / Regional Asia,BNLI,BANK PERMATA Tbk,BANK,89.12,86738586254760.0
Independent / Other,MORA,MORA TELEMATIKA INDONESIA Tbk,TELECOMUNICATION,35.99,84252317536940.0
Philip Morris Intl,HMSP,HANJAYA MANDALA SAMPOERNA Tbk,TOBACCO MANUFACTURERS,92.44,77954348945625.0
Astra / Jardine,UNTR,UNITED TRACTORS Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),59.5,75220048890900.0
Medco / Panigoro,AMMN,AMMAN MINERAL INTERNASIONAL Tbk,LAND/STONE QUARRYING,20.92,74624151915840.0
Adaro / Thohir,ADMR,ALAMTRI MINERALS INDONESIA Tbk,COAL MINING,85.45,71266248794900.0
Salim Group,ICBP,INDOFOOD CBP SUKSES MAKMUR Tbk,FOOD & BEVERAGES,80.53,69028833300000.0
Independent / Other,BRIS,BANK SYARIAH INDONESIA Tbk,BANK,51.47,65058410892010.0
Independent / Other,MBMA,MERDEKA BATTERY MATERIALS Tbk,METAL AND MINERAL MINING,50.04,64287310380930.0
Prajogo / Barito,CDIA,CHANDRA DAYA INVESTASI Tbk,INVESTMENT COMPANY,60.0,60292584744000.0
Independent / Other,UNVR,UNILEVER INDONESIA Tbk,COSMETICS AND HOUSEHOLD,84.99,59012385250000.0
Independent / Other,ISAT,INDOSAT Tbk,TELECOMUNICATION,65.64,58834629045170.0
Independent / Other,BRMS,BUMI RESOURCES MINERALS Tbk,METAL AND MINERAL MINING,25.1,58661201805160.0
Salim Group,DCII,DCI INDONESIA Tbk,COMPUTER AND SERVICES,11.12,55584142608225.0
Adaro / Thohir,AADI,ADARO ANDALAN INDONESIA Tbk,PLANTATION,41.1,54697036223225.0
Government / BUMN,ANTM,ANEKA TAMBANG Tbk,METAL AND MINERAL MINING,65.0,54669999996500.0
Independent / Other,SUPR,SOLUSI TUNAS PRATAMA Tbk,TELECOMUNICATION,97.33,49839894827900.0
Independent / Other,PGUN,PRADIKSI GUNATAMA Tbk,CROPS,38.44,48452094512900.0
Sinar Mas / Widjaja,SMMA,SINAR MAS MULTIARTHA Tbk,OTHERS - FINANCE,49.06,48418770575000.0
Independent / Other,TCPI,TRANSCOAL PACIFIC Tbk,TRANSPORTATION,55.0,47627782760000.0
Independent / Other,BELI,GLOBAL DIGITAL NIAGA Tbk,COMPUTER AND SERVICES,76.57,45200021759280.0
Independent / Other,BUMI,BUMI RESOURCES Tbk,METAL AND MINERAL MINING,45.78,44110054278864.0
Adaro / Thohir,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,COAL MINING,47.79,42857033797800.0
